Organization Name,Description,Number of Investments
Astia Angels,Astia Angels is a global network of both female and male angel investors that invest in high-growth companies.,55
The Chennai Angels,"The Chennai Angels, an investment group, develops entrepreneurship with a focus on nurturing and mentoring new generation entrepreneurs.",55
iSELECT FUND,The first personalized private venture fund for accredited investors,53
Seraph Group,"Seraph Group is an angel investor that invests between $50,000 and $1,000,000 in early-stage startups.",52
Paris Business Angels,Paris Business Angels is an investment firm.,52
Haatch,"Haatch is an early stage investment business with a hands on approach providing access to experienced founders, workspace & capital.",51
Founders Future,"Founders Future is a venture studio, providing creativity, network, support and productive capital.",50
Sidecar Angels,Sidecar Angels is a Boston-based angel group that helps venture capital firms and entrepreneurs build early stage companies.,49
A-Grade Investments,"A-Grade Investments is a venture capital fund founded by long-time friends Ashton Kutcher, Guy Oseary, and Ron Burkle.",48
Queen City Angels,"Queen City Angels (QCA) is a group of experienced, accredited investors committed to accelerating the growth of early-stage businesses.",48
Capital Angel Network,The Capital Angel Network is a network of angel investors in the Ottawa-Gatineau region.,48
Clean Energy Venture Group,Clean Energy Venture Group is an angel investment group that provides seed capital and management expertise to early stage clean energy.,47
Puget Sound Venture Club,Puget Sound Venture club was started in 1985. The only purpose is to provide a forum to review venture opportunities. Members represent,47
AIB Seed Capital Fund,The AIB Seed Capital Fund was established in 2007 to provide venture capital for companies at the seed and early stages of development,47
Pasadena Angels,"The Pasadena Angels, ranked a Top Ten angel group by Forbes, has invested $65+ million in over 175 companies.",46
Chattanooga Renaissance Fund,Chattanooga Renaissance Fund provides financial support and advisory services to entrepreneurs.,46
Nashville Capital Network,"Nashville Capital Network, Investment Arm is a venture capital firm.",46
Cowin Venture,Cowin Venture is an angel and early-stage investor in TMT and Healthcare.,44
Finistere Ventures,Finistere Ventures is a venture capital firm that seeks investments in the agriculture sector.,43
Hub Angels Investment Group,Hub Angels Investment Group is an angel group structured as a fund that helps companies to be more successful.,43
Golden Angels Investors,Golden Angels Investors is an angel investment group making investments in entrepreneurial ventures.,42
Space Angels,Your access to smart space investing starts here.,41
NYC Seed,"NYC Seed is a New York City-based seed venture capital firm. It is a partnership between ITAC, New York City Investment Fund, The New York",41
Blue Slide Ventures,Blue Slide Ventures is an early stage personal and SPV investment vehicle focused on backing brand centric consumer startups.,40
Angel Investment Network,"Angel Investment Network angel investment platform, funding platform, startup investment, entrepreneurs, angel investors,",40
ARC Angel Fund,"ARC Angel Fund is a member-led angel fund, investing in early-stage and seed investment companies with high growth potential.",40
Lead Angels Network,Lead Angels is an alumni focused angel network facilitating investments in early stage companies,39
The Angels' Forum,"The Angels' Forum is a hybrid venture/angel firm that invests in Software, Technology, and Life Sciences.",39
Sydney Angels,Sydney Angels is a non-profit angel investment group that invests in early stage companies.,39
Stanford Angels and Entrepreneurs,Stanford Angels & Entrepreneurs seeks to strengthen Stanfords startup community by fostering relationships among entrepreneurs and alumni.,38
#Angels,#Angels is a team of experienced operators collaborating to invest in great ideas and teams.,38
Galata Business Angels,Galata Business Angels is based in Istanbul and provides startups with advisory services and a platform to meet investors.,38
Cambridge Capital Group,Cambridge Capital Group is a business angel group of investors and private venture funds that invest in high technology businesses.,38
SeedBlink,"Seedblink is Europe’s fastest growing investing platform specialized in sourcing, vetting, financing and scaling tech start-ups.",37
Wharton Alumni Angels,"We're an official member of the Wharton Alumni Club Network and a best-in-class, angel investor group for Penn alumni worldwide.",37
Tamiami Angel Funds,Tamiami Angel Funds enables private accredited investors to collectively make private equity investments.,36
aMoon Fund,aMoon is a leading healthtech & life sciences venture capital firm.,35
Hyderabad Angels,Hyderabad Angels is a venture capital company.,35
Bynd Venture Capital,Bynd is a leading Portuguese Venture Capital firm with focus on seed / early stage technology companies connected to Iberia,35
SoundBoard Venture Fund,"SoundBoard Venture Fund is an early stage fund focused on scalable, tech enabled companies.",35
Angel Capital Management,Angel Capital Management is a leading private investment firm.,35
Harvard Business School Angels Chicago,HBS Angels of Chicago invest in and directly support promising early stage ventures.,35
Central Texas Angel Network,The Central Texas Angel Network (CTAN) is dedicated to providing quality early-stage investment opportunities for accredited Central Texas,35
ABAB (Atlantic Business Angels Booster),ABAB aims to unite businesses with projects and business angels.,35
Duke Angel Network,Duke Angel Network leverages the Duke network to help investors find innovative early-stage companies.,34
St. Louis Arch Angels,The St. Louis Arch Angels is organized as a 501c(6) corporation.,34
Ohio TechAngels Fund,"Ohio TechAngel Funds (OTAF) provide investment capital for commercialization of innovations in IT, life sciences, and adv materials.",33
Miami Angels,Miami Angels is a private investment group of accomplished accredited investors who look to partner and fund technology startups.,32
Maple Leaf Angels,"Maple Leaf Angels are an experienced group of private investors looking for great entrepreneurs, great products and great companies.",32
Dubai Angel Investors,Dubai Angel Investors Angel network supporting the startup ecosystem in the MENA region.,32
NEXEA Venture Capital & Angel Investors,NEXEA is a venture capital VC and accelerator that invests in early stage companies.,32
Avala Capital,Avala Capital invests in high-growth companies with ambitious goals and the talents to achieve them.,32
Empire Angels,Diverse group of Millennials investing in early stage ventures with a focus on supporting young entrepreneurs in the US and Europe,32
Melbourne Angels,"Formed in Melbourne, Australia early 2007. Most Active Angel Group Award. Best Angel Exit Award.",32
New Dominion Angels,New Dominion Angels invests in early stage Mid-Atlantic startups.,32
Halo Business Angel Network,HBAN is an all-island umbrella group responsible for the development of business angel syndicates.,32
New World Angels,New World Angels is a group of private investors dedicated to providing equity capital to early-stage entrepreneurial companies.,31
BlueTree Allied Angels,BlueTree Allied Angels is a regional group of accredited investors who invest in regional early-stage companies.,31
Lanai Partners,Lanai Partners is an angel group that invests in digital startups in Spain.,30
Pipeline Angels,Pipeline Angels is changing the face of angel investing and creating capital for women and non-binary femme social entrepreneurs.,30
Accelerate Fund,Accelerate Fund represents a partnership of organizations to share their collective expertise and capital to help.,30
Tribeca Early Stage Partners,"Tribeca Early Stage Partners is a network of financial professionals that finances, advises, and supports early-stage FinTech companies.",29
TiE Angels,TiE Angels is an angel investment group supporting top-tier emerging companies with early stage investment and advice.,29
Morningside Venture Partners,Morningside Venture Partners focuses on partnering with talented entrepreneurs to develop the next wave of truly great companies.,29
SucSEED Venture Partners,An Early Stage Investment Firm.,29
Upstate Carolina Angel Network,The Upstate Carolina Angel Network invests in start-up and early stage high-growth businesses.,29
overtime.vc,venture fund,27
Desert Angels,Desert Angels is an angel investor group focused on funding entrepreneurial ventures and startup or early stage companies.,27
Rocket Ventures,Rocket Ventures is Northwest Ohio's venture capital and entrepreneurial resource organization.,27
Atlanta Technology Angels,Atlanta Technology Angels (ATA) is an organization comprised of active and accredited angel investors who share the goal of making,27
TBD Angels,"TBD Angels is a group of like-minded angel investors who thrive on sharing advice, guidance, and capital with talented entrepreneurs.",26
Gvangels,Gvangels is the angel-investor group elected five consecutive times as one of the best business schools in the world.,26
Visary Capital,A thesis-driven fund for the new digital ecnomy.,26
Baltimore Angels,Early stage technology investment. A new generation of angel investing lives in Baltimore. Our investors are current and cashed-out,26
Baconsult,Baconsult is a privately held angel investor and management advisor focusing on Hungarian technology startups.,26
Southwestern Ontario Angel Group,"The Southwestern Ontario Angel Group is a not for profit corporation, founded in early 2008 with the goal of sourcing quality early stage",26
BIC Angels,BIC Angels is a Turkey-based angel investment network supporting start-up companies.,26
Insurtech Gateway,"The only FCA authorised independent incubator + fund, the Insurtech Gateway is the fastest place to build and launch an insurtech idea.",25
Cairo Angels,Cairo Angels is an angel investment network that invest in and supporting early-stage startups.,25
York Angels Investors,"York Angels provides a supportive linkage between local entrepreneurs, seeking early and mid-stage capital, and investors with a commitment.",25
KSK Angel Fund,KSK Angel Fund is a venture capital firm that offers data about the technology for services sectors.,25
HBS Alumni Angels,HBS Alumni Angels started in 2007 as a special interest group of the HBS Alumni Association of Northern California.,25
One Planet,"One Planet consists of several successful operating technology companies, an angel fund and a startup incubator.",24
Blue Heron Capital,Blue Heron Capital invests in small-cap growth equity companies in healthcare and tech-enabled business services.,24
Ride Ventures,Ride Ventures is an early-stage technology venture capital investment firm that invests in the different technology sectors.,24
Fyrfly Venture Partners,Fyrfly Venture Partners is a venture capital firm with a focus on data and intelligence.,24
Mass Medical Angels,Mass Medical Angels is dedicated to providing funding and mentoring services the companies in the healthcare and life sciences sector.,24
Eudaimonia Capital,Eudaimonia Capital is an angel investments company that offers investments to early stage companies.,24
Ofer Hi-Tech,"Ofer Hi-Tech was established in 1997 as a subsidiary of the Ofer Brothers Group, one of Israel's leading industrial and commercial",24
XA Network,XA Network provides smart capital to startups.,23
TRANGELS,Early Stage Investment Fund and Network,23
REDangels,They believe the unbelievable and trust the untrustable.,23
Bryant Stibel Investments,"Bryant Stibel is Kobe Bryant and Jeff Stibel's venture capital vehicle, focusing on the convergence of technology, media and data.",23
StartupFon,Online early stage investment platform.,23
Beacon Angels,"Beacon Angels is a Boston-based angel group that makes investments in the $100,000 to $300,000 range in small fast-growing companies.",23
Grand Angels,Grand Angels provides financial consultancy services.,23
Sierra Angels,"Founded in 1997, Sierra Angels is a premier angel investment group with principal focus in Northern Nevada.",22
AfterDox,AfterDox is a group of angel investors.,22
"Innovation Catalyst, Inc.","Innovation Catalyst is a non-profit venture development organization providing capital, connections and coaching to early-stage companies.",22
Family Angel Management Fund,Family Angel Management Fund is an investment fund.,22
Next Wave Impact,Early stage impact fund focusing on underrepresented founders,21
Broadway Angels,Broadway Angels is an angel investment group made up of investors and business executives who all happen to be women.,21
Wild Basin Investments,"Wild Basin Investments, LLC is a closely held investment firm located in Austin, Texas with a strong portfolio emphasis in early stage",21
Inserm Transfert Initiative,Inserm Transfert Initiative is a seed stage life science vehicle currently managing about â‚¬4.2M for the financing of new biotech,21
Purple Angel,Purple Angel is a venture capital firm focused on investments in the communications and infrastructure sectors.,21
INSEAD Business Angels Alumni France,INSEAD Business Angels organizes pitch sessions with startups looking for business angels to invest in their venture.,21
Cobin Angels,Cobin Angels engages in Business Angels Network and M&A Transaction Advisory.,20
Harvard Business School Alumni Angels of Greater NY,Harvard alumni investing in promising entrepreneurs and their vision. All investment decision are made individually by members.,20
Start Capital,Start Capital is a global venture capital company specialized in seed- and early-stage investments.,20
Nebraska Angel Network,Nebraska Angel Network is a local angel investor that finances early-stage high-growth companies.,20
Innovate Mississippi/MS Angel Network,Driving Innovative Business Growth,20
Wisconsin Super Angel Fund,The Wisconsin Super Angel Fund is a Milwaukee-based Venture Capital Firm founded in March 2013,20
Liebenthal Ventures,Liebenthal Ventures is a venture capital firm that runs a public company hedge fund.,19
Conduit Ventures,Conduit Ventures is an independent fund manager that invests capital in high growth companies worldwide.,19
Seed Capital Partners,"Seed Capital Partners is an American early-stage venture fund investing in IT, communications, and financial services companies.",19
Southwest Angel Network,Southwest Angel Network focuses on supporting early-stage companies which are addressing significant challenges facing society.,19
3T Capital,3T Capital is a venture capital fund focusing in innovative companies within the IT and communication sector.,19
BetaAngels Management,"BetaAngels is a venture capital group formed by proven tech entrepreneurs, senior executives and investors.",19
Scale Investors,"Our vision is to equip women to become successful investors whose wealth is enhanced through connection with, investment in, and support of",19
Inspovation Ventures,We provide advice and funding to early stage entrepreneurs,19
Angels on the Water,Angels on the Water provides seed and early-stage funding and membership for start-up companies in the 18-county region of NE Wisconsin.,19
Gravity Ventures,Gravity Ventures is a member managed seed capital fund investing in early stage technology and tech-enabled businesses.,18
Legal & General,Legal & General provides individual life assurance products and manages retirement risk for pension schemes.,18
United Angels VC,"Early-stage tech fund from Tallinn, Estonia",18
EQx Fund,EQx Fund operates an evergreen Angel Fund focused on diversified early stage investments in extraordinary Founders,18
Digital Assets Deployment,"Business incubator of Internet and technology based projects, supporting entrepreneurs to launch their business.",18
Ramen Ventures,We help startups get from prototype to ramen profitable,18
Silicon Pastures,"Silicon Pastures, a Wisconsin-based venture capital company, funds early-stage, high technology companies.",18
Pitchdrive,Pitchdrive scales innovative startups faster by closing the gap between experienced angels and early-stage companies.,17
Arizona Tech Investors,Phoenix-based active community of individuals who invest in high-potential tech startups,17
CDTI,"CDTi (NASDAQ: CDTI) is a cleantech emissions control company that designs, develops and manufactures sustainable solutions to reduce",17
Dreamworx,Dreamworx focuses on investments and affiliate marketing.,17
Oxford Angel Fund,Oxford Angel Fund is an early stage investor that invests in technology-based companies and start-ups.,17
Michigan Angel Fund,Michigan Angel Fund specializes in investments in angel deals.,17
Impact51,"We are a business angel partnership of like-minded, friends and senior executives who invest with passion, personal cash and expertise.",17
Berlin Venture Partners,"Berlin Venture Partners is invest in young, innovative companies and accompany and promote their successful development over many years.",17
Takeoff Partners,We specialize in internationalizing B2B software and services.,17
New Age Ventures,"Generalist venture studio with investments in healthcare, medical devices, digital health, cleantech, consumer tech, deep tech, applied AI",16
Berkeley Angel Network,Berkeley Angel Network is a venture capital and private equity firm that specializes in the fields of finance and investment management.,16
Charlotte Angel Fund,Charlotte Angel Fund is a member-driven angel investment fund designed to make investments in early stage high growth companies.,16
Moving Capital,Moving Capital is a private investment firm that helps amazing people build incredible companies.,16
99 Tartans,Carnegie Mellon Alumni investing in Carnegie Mellon Founders,16
Jumpstart New Jersey Angel Network,"Jumpstart is a private, member-lead, angel group that invests in early-stage technology companies in the Mid-Atlantic region.",16
Element 8,"Element 8 is an investment company that provides capital, guidance, and networking opportunities to early stage cleantech companies.",16
Beehive Holdings,Beehive Holdings is an angel fund focused primarily in seed to Series A investing.,16
Capital Community Angel Investors,Capital Community Angel Investors is a non-profit organization specialized in Michigan-based disruptive early-stage investments.,16
The Halo Fund,The Halo Fund is an early-stage venture capital fund focused on high-growth investments in Silicon Valley-based technology startups.,16
Phenomenelle Angels,"Phenomenelle Angels Fund, an early-stage fund, invests in women- and minority-owned or managed businesses in Wisconsin and the Midwest.",16
Ice Angels,Ice Angels is an organization made up of business professionals in New Zealand working together to exploit global opportunities in business.,16
VoLo Earth Ventures,Early Stage Investments,15
Hudson Valley Startup Fund,The Hudson Valley Startup Fund is a geographically focused fund that fosters and funds growth of the region's entrepreneurial ventures.,15
Blackbird Ventures,Blackbird Ventures is a California-based principal investment firm specialized in funding technology and real estate companies.,15
Nirvana Capital,Nirvana Capital is a blockchain focused fund.,15
Boston Angel Club,"Boston Angel Club is a firm with a union of successful entrepreneurs, high-profiled managers, and investors in both U.S. and China.",15
Angel Forum,Vancouver for investors & entrepreneurs,15
The eCoast Angel Network,The eCoast Angel Network is a venture capital firm that specializes in investments in early stage companies.,15
Xenia Venture Capital,Xenia Venture Capital is an investment company engaged in the initiation and build-up of high-technology start up companies.,15
Triangle Angel Partners,"Triangle Angel Partners invests time, analysis, and money into early life cycle companies in the high-tech and life sciences industries.",15
Femmes Business Angels,"Unique network of ""business angels"" feminine first network in France and in Europe.",15
Realiza Business Angels,Realiza Business Angels focuses on intermediation between investors and small and medium enterprises in need of capital.,15
Rosepaul Investments / RosePaul Ventures,RosePaul Investments is a family office based in NYC. We invest in seed stage companies and VC via our captive VC Fund RosePaul Ventures.,14
Manila Angel Investors Network,The Manila Angel Investors Network is the largest network of committed independent and private investors in the Philippines.,14
Red Bear Angels,Red Bear Angels is an investment management company that supports early-stage companies.,14
Wilmington Investor Network,Wilmington Investor Network is a private equity fund of angel investors.,14
Gopher Angels,"Gopher Angels is an angel investment firm focused on providing financial support to entrepreneurs based in Minnesota, United States.",14
Seattle Angel Conference,Seattle Angel Conference is a program to build new Angel Investors in the local Seattle startup ecosystem.,14
Acta Wireless,"Backing early stage companies that use wireless technology to disrupt tranditional industries such as media, advertising, and education",14
Resolute Venture Partners,Resolute Venture Partners is the newest angel investment vehicle in a family of funds created by Clayton Associates.,14
Korea Tech Incubator Program For Startup,"R&D fund for Korean startups who secured at least $100,000 from designated startup VCs or Accelerators",14
Fort Point Angels,"Fort Point Angels, a Boston-based angel investment fund, makes seed- and early-stage investments in growth companies.",14
Mid-America Angels,Mid-America Angels is a regional network of accredited investors dedicated to identifying and funding early-stage companies.,13
ANME,"We are a group of angel investors based mainly in the Middle East, USA, Europe, India and South East Asia.",13
Mid Atlantic Bio Angels,"Mid Atlantic Bio Angels group is an angel investor, focused on funding new and emerging life science companies.",13
Angel Effect,"We are a team of successful entrepreneurs, corporate leaders and people who know the impact of creating value together.",13
NETWORK VC,NETWORK VC invests in startups that have graduated from the TOP world accelerators.,13
LDR Ventures,"LDR is a VC firm based in Los Angeles investing In Female & Minority Founders, Consumer Product, Food, E-Comm, Marketplaces & Legal Tech",13
AIM Group,Angel Investor Management Group operates as an early-stage funding source in the Southeast.,13
Bluegrass Angels,Bluegrass Angels is a company that provides investment of capital and mentoring for Kentuckys startup companies.,13
SeedStep Angels,SeedStep Angels is an angel investment fund specialized in seed- and early-stage investments.,13
Charleston Angel Partners,Early Stage Equity Investment Group,13
North Bay Angels,"North Bay Angels provides forum for learning and making early stage investment capital, and advisory assistance.",12
Wealthing VC Club,"WVCC is an investment group for accredited investors to invest in pre-vetted, innovative companies.",12
Coughdrop Capital,Coughdrop Capital is an early-stage venture firm based in San Francisco and Los Angeles,12
IncuVest,IncuVest is a Singapore-based early and growth-stage tech investment platform,12
Tahseen Consulting,"We’re a boutique firm at the intersection of policy, technology, and development",12
"NueCura Partners, LLC",NueCura Partners invests in the healthcare sector and is an angel investment company.,12
SunBridge,SunBridge is a professional service company specializing in digital transformation around Salesforce.,12
Garuda Ventures,Garuda is an angel fund run by full-time operators Rishi Taparia and James Richards. We spend every day on the founder side of the table.,12
C3 Ventures,Seed funding for category defining startups from experienced entrepreneurs,12
Falcon Network,Falcon Network is a group of emerging markets-based angel investors.,12
Angel Investor Forum,Angel Investor Forum is a group of investors who invest their own money in startup companies.,12
HgCapital Trust plc,"HgCapital Trust plc provides investors with exposure to a fast-growing portfolio of unquoted investments, primarily in technology.",12
Seed4Soft,Seed4Soft offers seed stage financing and mentoring opportunities to companies based in the software industry.,12
Angel Street Capital,Angel Street Capital provides capital and consulting services to assist early stage startups in the digital media industry.,12
Linseed Capital,"We founded and manage Linseed Capital to invest in great companies, help people achieve their ambitions and to make money.",12
Investor's Circle,Investors' Circle is an active early-stage impact investing network that focuses on funding startup innovation.,11
Leapfunder,Leapfunder aims to help startups to find early stage financing.,11
Ascensive Assets,Ascensive Asset is a private investment firm focusing solely on digital assets industry,11
Sica Ventures,Sica Ventures provides seed capital for innovative tech startups.,11
Angelsdeck,Angelsdeck is an angel investor club that focuses on syndicated deals by professionals and trusted investors.,11
WISENEXT,WiseNext is a venture and smart capital investment company,11
Meitav Investment House,"Meitav Dash is an investment house in Israel that manages more than NIS 133 billion for private, business, and institutional clients.",11
Sarmayacar,Sarmayacar is an early stage venture capital firm investing in Pakistani startups.,11
Kogito Ventures,"VC fund co-investing with Business Angels, focused on pre-seed & seed stage",11
Starttech Ventures,"Starttech Ventures is an investment firm that focuses on early-stage, B2B, and SaaS.",11
Richmond View Ventures,"Richmond View Ventures is a provider of capital and expertise for Entrepreneurs and their Ventures in Internet, Mobile and Media space.",11
Arba Seed Investment Group,"Arba is a seed investment group that focuses on the internet, tech, and other new media.",11
OperatorVC,For Entrepreneurs. By Entrepreneurs.,11
Apricot Capital,"Apricot Capital is a seed stage investment firm based in Boston, MA and Toronto, Canada.",11
Capier Investments,Capier Investments provides collective growth by outliving the true potential of both the business and the investors.,11
European Super Angels Club,The European Super Angels Club is a network of investors and offers its members access to international co-investments of European startups.,11
Möller Ventures,Möller Ventures is an incubator and venture capital firm.,11
SeedFundersOrlando,Seed stage investment group,11
Blue Water Angels,BlueWater Angels is a network of more than 30 high-net-worth individuals and select organizations.,11
Business Angels des Grandes Ecoles,Business Angels des Grandes Ecoles is one of the leading Business Angels networks in France,11
Life Sciences Angel Network,"Life Sciences Angel Network provides early-stage life science companies with operational, mentorship and financial support.",11
Bulldog Angel Network,Investing In The Global Mississippi State University Entrepreneurial Community,11
reinmkr capital,Reinmkr Capital is an American seed- and early-stage venture capital fund that invests in high frequency companies and products.,11
Capikris Foundation,"Experienced Investor in seed, pre-series A, series A and follow on stages; global, scalable and relevant technologies",11
Yakumi,"A platform connecting global angel investors with startups based in, or relating to, Japan",10
Sacramento Angels,The Sacramento Angels is a membership-based group of active angel investors who invest in early-stage Northern California companies.,10
Angel,Angel,10
Bioverge,Bioverge is an online venture capital firm specializing in investing in early-stage healthcare startups.,10
Ketch Ventures,"Investor & Strategic Partner to Early Stage, Disruptive, Consumer Facing Businesses. Invest with us: https://angel.co/s/ketch-ventures/L3d0N",10
K Street Capital,"K Street Capital is a Wshington, D.C.-based angel network that supports the development of high-potential entrepreneurs.",10
iArgento,"iArgento is a multi-family office specializing in wealth management, alternative investments, and digital assets.",10
Walled City Co.,Investment syndicates for seed and early-stage start-ups & entrepreneurs,10
VisionTech Partners,"Early stage, high potential, technology companies with novel products and/or services that have clear competitive advantages in large",10
Park City Angels,"The Park City Angels is a group of 40+ accredited investors located in Park City, Utah.",10
Chicago Early Growth Ventures (CEGV),'Chicago Early' invests in pre-seed and seed-stage startup companies in and around Chicago.,10
Next Act Fund,Next Act Fund is a opportunity for women to be involved in the angel investment community with other like-minded women.,10
Delaware Crossing Investor Group,Delaware Crossing Investor Group enables its network of executives and entrepreneurs to invest in early-stage and growth-oriented companies.,10
